47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-1495874,86;A;;;;1232,61;1497107,47;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-1495874,86;A;;;;1232,61;1497107,47;;
        47.01.01;;Vendita prodotti finiti;;100,00;-1490754,31;A;;;;1232,61;1491986,92;;
        47.01.03;;Vendita merci;;100,00;-5120,55;A;;;;;5120,55;;
53;;ALTRI RICAVI E PROVENTI;;;-65547,88;A;;;;;65547,88;;
    53.01;;PROVENTI DIVERSI;;;-40649,07;A;;;;;40649,07;;
        53.01.01;;Proventi immobiliari;;;-30400,00;A;;;;;30400,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-30400,00;A;;;;;30400,00;;
        53.01.23;;Contributi in conto esercizio;;;-2600,00;A;;;;;2600,00;;
            53.01.23.01;;Contributi in conto esercizio impon.;;100,00;-2600,00;A;;;;;2600,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-29,07;A;;;;;29,07;;
        53.01.51;;Altri ricavi e proventi;;;-7620,00;A;;;;;7620,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-7620,00;A;;;;;7620,00;;
    53.03;;PLUSVAL.DA ALIENAZIONE CESPITI;;;-23000,00;A;;;;;23000,00;;
        53.03.03;;Ricavi per cessione cespiti ammortizzati;;100,00;-23000,00;A;;;;;23000,00;;
    53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;;;-1898,81;A;;;;;1898,81;;
        53.09.03;;Sopravv.attive da eventi str./es.prec.;;;-1898,81;A;;;;;1898,81;;
            53.09.03.01;;Sopravv.attive imp.da ev.str./es.prec.;;100,00;-1898,81;A;;;;;1898,81;;
55;;ACQUISTI DI BENI;;;491459,34;D;;;;500193,18;8733,84;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;461070,49;D;;;;469752,69;8682,20;;
        55.01.01;;Acquisti materie prime;;100,00;440617,44;D;;;;449119,58;8502,14;;
        55.01.05;;Acquisti materiali di consumo;;100,00;6280,07;D;;;;6460,13;180,06;;
        55.01.09;;Confezioni e imballi;;100,00;14161,52;D;;;;14161,52;;;
        55.01.17;;Acquisti materiali vari;;100,00;11,46;D;;;;11,46;;;
    55.07;;ACQUISTI DIVERSI;;;20593,22;D;;;;20644,86;51,64;;
        55.07.03;;Attrezzatura minuta;;100,00;245,61;D;;;;245,61;;;
        55.07.11;;Materiali manutenz.impianti e macchinari;;100,00;5551,04;D;;;;5551,04;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;14580,88;D;;;;14632,52;51,64;;
        55.07.23;;Indumenti da lavoro;;100,00;215,69;D;;;;215,69;;;
    55.09;;SOPRAVV.PASS.ACQUISTI EV.STR./ES.PREC.;;;9795,63;D;;;;9795,63;;;
        55.09.01;;Sopravv.pass.acquisti ev.str./es.prec.;;;9795,63;D;;;;9795,63;;;
            55.09.01.01;;Sopravv.pas.ded.acq.beni ev.str.;;100,00;9795,63;D;;;;9795,63;;;
57;;ACQUISTI DI SERVIZI;;;231885,25;D;;;;234174,18;2288,93;;
    57.03;;COSTI ACCESSORI PER VENDITE;;;72255,58;D;;;;73377,58;1122,00;;
        57.03.01;;Trasporti su vendite;;100,00;72255,58;D;;;;73377,58;1122,00;;
    57.09;;COSTI PER UTENZE;;;111003,56;D;;;;111770,49;766,93;;
        57.09.01;;Spese telefoniche ordinarie;;;97,00;D;;;;97,00;;;
            57.09.01.01;;Spese telefoniche ordinarie;;80,00;97,00;D;;;;97,00;;;
        57.09.03;;Spese telefoniche radiomobili;;80,00;649,05;D;;;;649,05;;;
        57.09.13;;Energia elettrica;;;109723,64;D;;;;110490,57;766,93;;
            57.09.13.01;;Energia elettrica;;100,00;109723,64;D;;;;110490,57;766,93;;
        57.09.17;;Acqua potabile;;100,00;533,87;D;;;;533,87;;;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;;48626,11;D;;;;49026,11;400,00;;
        57.11.01;;Spese manut.impianti e macchin.propri;;100,00;31109,58;D;;;;31109,58;;;
