47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-2315184,8;A;;;;382,65;2315567,45
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-2314584,8;A;;;;382,65;2314967,45
        47.01.01;;Vendita prodotti finiti;;100;-2250999,8;A;;;;382,65;2251382,45
        47.01.03;;Vendita merci;;100;-63585;A;;;;;63585
    47.09;;RICAVI ACCESSORI DI VENDITA;;;-600;A;;;;;600
        47.09.01;;Rivalsa spese di trasporto e installaz.;;100;-600;A;;;;;600
49;;VARIAZ.RIM.FINALI E COSTRUZIONI INTERNE;;;-232260;A;;;;;232260
    49.01;;RIMANENZE FINALI;;;-232260;A;;;;;232260
        49.01.13;;Rim.finali mat.prime,sussid.e di consumo;;100;-232260;A;;;;;232260
51;;VARIAZ. RIMANENZE INIZIALI;;;225000;D;;;;225000;
    51.01;;RIMANENZE INIZIALI;;;225000;D;;;;225000;
        51.01.13;;Rim.iniz.mat.prime, sussid.e di consumo;;100;225000;D;;;;225000;
53;;ALTRI RICAVI E PROVENTI;;;-49673,9;A;;;;;49673,9
    53.01;;PROVENTI DIVERSI;;;-49448;A;;;;;49448
        53.01.01;;Proventi immobiliari;;;-45600;A;;;;;45600
            53.01.01.01;;Proventi da immobili strumentali;;100;-45600;A;;;;;45600
        53.01.15;;Risarcim.danni perdita prodotti/sinistri;;100;-748,5;A;;;;;748,5
        53.01.29;;Arrotondamenti attivi diversi;;100;-40;A;;;;;40
        53.01.51;;Altri ricavi e proventi;;;-3059,5;A;;;;;3059,5
            53.01.51.01;;Altri ricavi e proventi imponibili;;100;-3059,5;A;;;;;3059,5
    53.09;;COMPONENTI POSITIVI DA EVENTI STRAORD.;;;-225,9;A;;;;;225,9
        53.09.01;;Plusvalenze da eventi straordinari;;;-225,9;A;;;;;225,9
            53.09.01.11;;Plusv.e altri proventi da eventi straor.;;100;-225,9;A;;;;;225,9
55;;ACQUISTI DI BENI;;;1485861,88;D;;;;1527357,33;41495,45
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;1463892,34;D;;;;1505346,97;41454,63
        55.01.01;;Acquisti materie prime;;100;1433709,64;D;;;;1475164,27;41454,63
        55.01.05;;Acquisti materiali di consumo;;100;8161,86;D;;;;8161,86;
        55.01.09;;Confezioni e imballi;;100;22019,24;D;;;;22019,24;
        55.01.19;;Oneri accessori su acquisti;;100;1,6;D;;;;1,6;
    55.07;;ACQUISTI DIVERSI;;;21969,54;D;;;;22010,36;40,82
        55.07.03;;Attrezzatura minuta;;100;537,68;D;;;;537,68;
        55.07.11;;Materiali manutenz.impianti e macchinari;;100;7258,18;D;;;;7258,18;
        55.07.13;;Materiali manutenzioni diverse;;100;13869,11;D;;;;13869,11;
        55.07.23;;Indumenti da lavoro;;100;304,57;D;;;;345,39;40,82
57;;ACQUISTI DI SERVIZI;;;344815,81;D;;;;345096,95;281,14
    57.03;;COSTI ACCESSORI PER VENDITE;;;103702;D;;;;103702;
        57.03.01;;Trasporti su vendite;;100;103702;D;;;;103702;
    57.09;;COSTI PER UTENZE;;;209598,41;D;;;;209879,55;281,14
        57.09.01;;Spese telefoniche ordinarie;;;315,38;D;;;;495,43;180,05
            57.09.01.01;;Spese telefoniche ordinarie;;80;315,38;D;;;;495,43;180,05
        57.09.03;;Spese telefoniche radiomobili;;80;573,71;D;;;;673,61;99,9
        57.09.13;;Energia elettrica;;;208167,97;D;;;;208169,16;1,19
            57.09.13.01;;Energia elettrica;;100;208167,97;D;;;;208169,16;1,19
        57.09.17;;Acqua potabile;;100;541,35;D;;;;541,35;
    57.11;;MANUTENZIONI MACCHINARI E ATTREZZATURE;;;29035,25;D;;;;29035,25;
        57.11.01;;Spese manut.impianti e macchin.propri;;100;16294,43;D;;;;16294,43;
        57.11.03;;Spese manutenzione attrezzature proprie;;100;11146,93;D;;;;11146,93;
        57.11.07;;Altre spese manutenzione beni propri;;;1593,89;D;;;;1593,89;
            57.11.07.01;;Altre spese manutenzione beni propri;;100;1593,89;D;;;;1593,89;
    57.13;;MANUTENZIONE FABBRICATI;;;2480,15;D;;;;2480,15;
        57.13.01;;Spese manutenzione fabbricati;;;2480,15;D;;;;2480,15;
            57.13.01.01;;Spese manut.fabbricati strumentali;;100;2480,15;D;;;;2480,15;
59;;GESTIONE VEICOLI AZIENDALI;;;5809,14;D;;;;5809,14;
    59.01;;ESERCIZIO AUTOMEZZI;;;4909,14;D;;;;4909,14;
        59.01.01;;Carburanti e lubrificanti automezzi;;100;3876,39;D;;;;3876,39;
        59.01.13;;Spese manutenzione automezzi propri;;;1012,75;D;;;;1012,75;
            59.01.13.03;;Spese manutenzione automezzi propri;;100;1012,75;D;;;;1012,75;
        59.01.25;;Servizi generali vari automezzi;;100;20;D;;;;20;
    59.03;;ESERCIZIO AUTOVETTURE E ALTRI VEICOLI;;;900;D;;;;900;
        59.03.03;;Premi assicurazioni veicoli;;;900;D;;;;900;
            59.03.03.01;;Premi assicur.veicoli aziendali deduc.;;100;900;D;;;;900;
61;;PRESTAZIONI DI LAVORO NON DIPENDENTE;;;23535,05;D;;;;23814,23;279,18
    61.01;;PRESTAZIONI DI LAVORO AUTONOMO;;;2256,8;D;;;;2256,8;
        61.01.11;;Consulenze/prestazioni diverse;;;2184,8;D;;;;2184,8;
            61.01.11.05;;Consulenze non afferenti diverse;;100;2184,8;D;;;;2184,8;
        61.01.19;;Contributi cassa previdenza lav.autonomo;;;72;D;;;;72;
            61.01.19.03;;Contrib.cassa previd.lav.aut. non affer.;;100;72;D;;;;72;
    61.03;;ALTRE PRESTAZIONI DI LAVORO;;;20599,73;D;;;;20878,91;279,18
        61.03.01;;Compensi/rimborsi co.co.co.;;;17277;D;;;;17277;
            61.03.01.01;;Compensi/rimborsi co.co.co.afferenti;;100;17277;D;;;;17277;
        61.03.07;;Contributi previdenziali co.co.co.;;;2764,32;D;;;;2764,32;
            61.03.07.01;;Contrib.previd. co.co.co. afferenti;;100;2764,32;D;;;;2764,32;
        61.03.13;;Contributi INAIL co.co.co;;100;558,41;D;;;;837,59;279,18
    61.05;;COMPENSI ORGANI SOCIALI;;;678,52;D;;;;678,52;
        61.05.15;;Premi INAIL soci/titolari;;100;678,52;D;;;;678,52;
63;;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;;;35992,33;D;;;;39541,07;3548,74
    63.01;;SPESE COMMERCIALI E DI VIAGGIO;;;1058,02;D;;;;1058,02;
        63.01.09;;Spese per alberghi e ristoranti;;;295,5;D;;;;295,5;
            63.01.09.03;;Sp.alberghi,rist(rappr.con limite ricavi);;75;295,5;D;;;;295,5;
        63.01.21;;Spese rappres.deduc.(con limite ricavi);;100;762,52;D;;;;762,52;
    63.05;;SPESE AMMINISTRATIVE E GENERALI;;;34934,31;D;;;;38483,05;3548,74
        63.05.01;;Spese postali;;100;64,5;D;;;;64,5;
        63.05.07;;Servizi contabili di terzi;;100;14430,72;D;;;;14695,84;265,12
        63.05.11;;Altre spese amministrative;;100;6794,3;D;;;;6794,3;
