5805220;SCONTI SU VENDITE;202,38; 
6620005;MATERIE DI CONSUMO C/ACQUISTI;3,69; 
6620502;MATERIE DI CONS. X PREST.DI SERV;309,87; 
6625005;MERCI C/ACQUISTI;29.849,99; 
6630015;MATERIALE DI PULIZIA;16,48; 
6630025;CANCELLERIA;500,34; 
6805005;TRASPORTI SU ACQUISTI;303,21; 
6805045;ACQUA;3,09; 
6805052;CANONE DI MANUTENZIONE PERIODICA;483,61; 
6805055;MANUT.E RIPARAZ.BENI PROPRI 5%;8.321,66; 
6805075;MAN. E RIP. BENI DI TERZI;669,91; 
6805110;ASSICURAZIONI R.C.A.;1.278,22; 
6805120;ASSICURAZIONI R.C.A. PARZ.DEDUC.;400,95; 
6805125;ASSICURAZ. NON OBBLIGATORIE;1.433,49; 
6805127;PREMI INAIL SOCI/TITOLARE;245,56; 
6805320;SPESE TELEFONICHE;72,31; 
6805325;SPESE CELLULARI;133,88; 
6805341;PASTI/SOGGIORNI-SPESE DI RAPPRES;340; 
6805370;ONERI BANCARI;2.433,86; 
6805385;TENUTA PAGHE,CONT.DICH.DA IMPRES;440; 
6805386;TEN.PAGHE,CONT.,DICH.DA LAV.AUT.;823,68; 
6805490;ALTRI SERVIZI DEDUCIBILI;536,59; 
7005010;FITTI PASSIVI (BENI IMMOBILI);11.385,62; 
7010005;CANONI DI LEASING BENI MOB. DED.;6.416,63; 
7205010;SALARI E STIPENDI;15.104,23; 
7215005;ONERI SOCIALI INPS;4.277,37; 
7215025;ONERI SOCIALI INAIL;758,34; 
7215090;ALTRI ONERI SOCIALI;299,72; 
7220008;TFR A FONDI PENSIONE (-50 DIP.);297,47; 
8025005;MERCI C/ESISTENZE INIZIALI;92.779,69; 
8405005;IMPOSTA DI BOLLO;100; 
8405045;TASSA SUI RIFIUTI;467; 
8405090;ALTRE IMPOSTE E TASSE DEDUCIBILI;720; 
8410050;SOPRAVVENIENZ. PASSIVE ORD.DED.;211,45; 
8410090;ABBUONI/ARROTONDAMENTI PASSIVI;0,43; 
8410190;ALTRI ONERI DI GEST. DEDUC.;180; 
8410191;ALTRI ONERI DI GEST.INDEDUCIBILI;4.184,63; 
8410502;CONTRIBUTI ASSOCIATIVI;210; 
8820010;INT.PASS.SUI DEB.V/BAN.DI CR.ORD;667,11; 
5805010;MERCI C/VENDITE; ;5.231,56
5805501;INCASSI ERBORISTERIA SESTO F.N; ;3.732,80
5805502;INCASSI ERBORISTERIA CALENZANO; ;22.590,17
5805503;INCASSI ERBORISTERIA PRATO; ;68.795,53
5805504;INCASSI ERBORISTERIA SCANDICCI; ;76.485,27
5810010;PRESTAZIONI DI ESTETICA SESTO; ;10.208,22
6405100;ABBUONI/ARROT. ATTIVI IMP.; ;0,07
6405115;SOPRAVVENIENZE ORDINARIE ATTIVE; ;933,17
6405150;OMAGGI DA FORNITORI; ;18
6805025;ENERGIA ELETTRICA; ;341,6
6805355;RICERCA,ADDESTRAM.E FORMAZIONE; ;100
7010021;CAN.LEAS.QUO.INT.BEN.IMM.IND IRA; ;2,24
