105;Compensi professionali;0,00;143545,00
112;Proventi diversi;0,00;370,53
130;Plusvalenze patrimoniali art.86;0,00;900,00
216;Materiali di consumo: spese di cancelleria;207,40;0,00
220;Consumo di energia;499,83;0,00
230;Spese per servizi amministrativi;3476,31;0,00
242;Spese telefonia fissa mobile e serv. telematici;665,88;0,00
270;Altri componenti negativi /altre spese documentate;5,43;0,00
275;Spese di manut. beni propri deducibili;1013,82;0,00
279;Spese manut. veicoli professionisti;8683,40;0,00
310;Spese per il personale dipendente;33667,94;0,00
341;Spese per lavoro autonomo afferenti l'attivita';2730,00;0,00
380;Ammort. ordinario altri beni materiali;2339,79;0,00
383;Ammort. ordin.altri beni mater./immater. non deduc;6,85;0,00
400;Acquisto beni strumentali < 516,46 deducibili;886,33;0,00
420;Spese di rappresentanza (omaggi)ded.limite ricavi;240,00;0,00
461;Interessi passivi;-4,09;0,00
480;Altri compon.negat.(per imprese imposte e tasse);22189,95;0,00
484;Altri costi indeducibili;3949,63;0,00
487;Abbonamenti,libri, spese di cancelleria;102,76;0,00
509;Imposte e tasse (professionisti);450,41;0,00
