47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;29740,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47.07;CORRISPETTIVI;;28555,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47.07.01;Corrispettivi;;28555,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47.11;RICAVI DA PRESTAZIONI;;1185,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47.11.03;Prestazioni di servizi;;1185,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;ACQUISTI DI BENI;1543,52;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;108,43;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
55.03.01;Acq.beni materiali per produz. servizi;108,43;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
55.07;ACQUISTI DIVERSI;1435,09;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
55.07.01;Acquisto beni strumentali inf.516,46;98,95;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
55.07.17;Cancelleria varia;1294,94;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
55.07.51;Materiale vario di consumo;41,20;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
57;ACQUISTI DI SERVIZI;922,00;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
57.03;COSTI ACCESSORI PER VENDITE;453,32;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
57.03.01;Trasporti su vendite;453,32;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
