105;Compensi professionali;0,00;278881,00
112;Proventi diversi;0,00;740,92
130;Plusvalenze patrimoniali art.86;0,00;900,00
216;Materiali di consumo: spese di cancelleria;1073,60;0,00
220;Consumo di energia;1113,95;0,00
230;Spese per servizi amministrativi;6362,21;0,00
242;Spese telefonia fissa mobile e serv. telematici;857,79;0,00
270;Altri componenti negativi /altre spese documentate;19,88;0,00
275;Spese di manut. beni propri deducibili;1013,82;0,00
279;Spese manut. veicoli professionisti;8683,40;0,00
290;Canoni loc.non finanz./ noleggi (deducibili);1573,80;0,00
301;Canoni immobiliari;15000,00;0,00
310;Spese per il personale dipendente;48442,52;0,00
320;Contributi Inail dipendenti e apprendisti;1427,25;0,00
341;Spese per lavoro autonomo afferenti l'attivita';8825,00;0,00
380;Ammort. ordinario altri beni materiali;4457,66;0,00
383;Ammort. ordin.altri beni mater./immater. non deduc;13,06;0,00
397;Ammortamento spese pluriennali;3730,98;0,00
400;Acquisto beni strumentali < 516,46 deducibili;886,33;0,00
420;Spese di rappresentanza (omaggi)ded.limite ricavi;240,00;0,00
461;Interessi passivi;-4,09;0,00
480;Altri compon.negat.(per imprese imposte e tasse);59229,69;0,00
484;Altri costi indeducibili;7111,56;0,00
487;Abbonamenti,libri, spese di cancelleria;202,61;0,00
509;Imposte e tasse (professionisti);450,41;0,00
