47;;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;;-350463,41;A;;;;1232,61;351696,02;;
    47.01;;VENDITE PRODOTTI FINITI E MERCI;;;-350463,41;A;;;;1232,61;351696,02;;
        47.01.01;;Vendita prodotti finiti;;100,00;-350463,41;A;;;;1232,61;351696,02;;
53;;ALTRI RICAVI E PROVENTI;;;-15226,77;A;;;;;15226,77;;
    53.01;;PROVENTI DIVERSI;;;-15226,77;A;;;;;15226,77;;
        53.01.01;;Proventi immobiliari;;;-7600,00;A;;;;;7600,00;;
            53.01.01.01;;Proventi da immobili strumentali;;100,00;-7600,00;A;;;;;7600,00;;
        53.01.29;;Arrotondamenti attivi diversi;;100,00;-6,77;A;;;;;6,77;;
        53.01.51;;Altri ricavi e proventi;;;-7620,00;A;;;;;7620,00;;
            53.01.51.01;;Altri ricavi e proventi imponibili;;100,00;-7620,00;A;;;;;7620,00;;
55;;ACQUISTI DI BENI;;;88823,42;D;;;;88903,94;80,52;;
    55.01;;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;;;81017,68;D;;;;81098,20;80,52;;
        55.01.01;;Acquisti materie prime;;100,00;72304,64;D;;;;72385,16;80,52;;
        55.01.05;;Acquisti materiali di consumo;;100,00;1571,02;D;;;;1571,02;;;
        55.01.09;;Confezioni e imballi;;100,00;7130,56;D;;;;7130,56;;;
        55.01.17;;Acquisti materiali vari;;100,00;11,46;D;;;;11,46;;;
    55.07;;ACQUISTI DIVERSI;;;7805,74;D;;;;7805,74;;;
        55.07.13;;Materiali manutenzioni diverse;;100,00;7805,74;D;;;;7805,74;;;
57;;ACQUISTI DI SERVIZI;;;20491,97;D;;;;20512,40;20,43;;
    57.03;;COSTI ACCESSORI PER VENDITE;;;17950,00;D;;;;17950,00;;;
        57.03.01;;Trasporti su vendite;;100,00;17950,00;D;;;;17950,00;;;
    57.09;;COSTI PER UTENZE;;;68,53;D;;;;88,96;20,43;;
        57.09.01;;Spese telefoniche ordinarie;;;20,00;D;;;;20,00;;;
            57.09.01.01;;Spese telefoniche ordinarie;;80,00;20,00;D;;;;20,00;;;
        57.09.13;;Energia elettrica;;;48,53;D;;;;68,96;20,43;;
            57.09.13.01;;Energia elettrica;;100,00;48,53;D;;;;68,96;20,43;;
